City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,utrik,11.2278,169.8474,301.31,81,25,6.04,MH,1693844636
1,punta arenas,-53.15,-70.9167,273.77,80,72,3.58,CL,1693844538
2,waitangi,-43.9535,-176.5597,280.83,65,100,0.99,NZ,1693844637
3,alice springs,-23.7,133.8833,284.9,50,0,2.57,AU,1693844587
4,port-aux-francais,-49.35,70.2167,276.26,80,100,13.69,TF,1693844638
5,kodiak,57.79,-152.4072,284.88,76,40,3.6,US,1693844639
6,edinburgh of the seven seas,-37.0676,-12.3116,286.37,79,72,9.84,SH,1693844639
7,mossel bay,-34.1831,22.146,286.11,69,81,3.97,ZA,1693844640
8,invercargill,-46.4,168.35,277.05,97,18,0.45,NZ,1693844640
9,iqaluit,63.7506,-68.5145,278,93,100,3.09,CA,1693844640
10,margate,51.3813,1.3862,297.21,69,100,3.13,GB,1693844641
11,lompoc,34.6391,-120.4579,296.36,85,100,5.36,US,1693844641
12,tiksi,71.6872,128.8694,271.78,79,42,1.96,RU,1693844642
13,armagh,54.35,-6.6667,296.36,75,14,1.95,GB,1693844642
14,swakopmund,-22.6833,14.5333,293.62,75,68,5.81,NA,1693844643
15,enewetak,11.3474,162.3373,301.48,78,50,3.56,MH,1693844644
16,west island,-12.1568,96.8225,299.14,73,100,6.69,CC,1693844644
17,stanley,54.868,-1.6985,299.55,58,20,3.6,GB,1693844644
18,adamstown,-25.066,-130.1015,292.14,87,100,11.46,PN,1693844645
19,qamdo,31.1667,97.2333,278.56,72,55,1.01,CN,1693844646
20,petropavlovsk-kamchatsky,53.0452,158.6483,282.48,76,0,9,RU,1693844578
21,aioun,16.6614,-9.6149,309.35,32,83,4.32,MR,1693844646
22,cartagena del chaira,1.3349,-74.8429,303.97,58,92,1.15,CO,1693844647
23,arifwala,30.294,73.0735,305.05,33,0,2.14,PK,1693844648
24,castillos,-34.1667,-53.8333,285.54,85,100,8.66,UY,1693844648
25,blackmans bay,-43.0167,147.3167,283.22,83,100,0.79,AU,1693844649
26,ola,59.5833,151.2833,281.22,68,0,0.51,RU,1693844649
27,iquique,-20.2208,-70.1431,293.17,62,0,4.9,CL,1693844649
28,cozumel,20.5083,-86.9458,303.19,93,40,2.57,MX,1693844447
29,bilibino,68.0546,166.4372,273.24,87,100,3.39,RU,1693844650
30,sinabang,2.4803,96.3801,298.12,91,100,0.93,ID,1693844651
31,manga,11.6636,-1.0731,301.98,68,94,3.14,BF,1693844651
32,ancud,-41.8697,-73.8203,280.04,74,97,2.04,CL,1693844652
33,susuman,62.7833,148.1667,274.08,73,5,1.65,RU,1693844652
34,puerto natales,-51.7236,-72.4875,276.9,56,22,2.4,CL,1693844653
